,setpoint_raw-global_latitude,setpoint_raw-global_longitude,setpoint_raw-global_altitude,battery_voltage,battery_current,battery_temperature,battery_percentage,global_position-local_pose.pose.position.x,global_position-local_pose.pose.position.y,global_position-local_pose.pose.position.z,global_position-local_pose.pose.orientation.x,global_position-local_pose.pose.orientation.y,global_position-local_pose.pose.orientation.z,global_position-local_twist.twist.linear.x,global_position-local_twist.twist.linear.y,global_position-local_twist.twist.linear.z,imu-data_orientation.x,imu-data_orientation.y,imu-data_orientation.z,imu-data_orientation.w,imu-data_angular_velocity.x,imu-data_angular_velocity.y,imu-data_angular_velocity.z,rc-out_channels_0,rc-out_channels_1,rc-out_channels_2,rc-out_channels_3,rc-out_channels_4,vfr_hud_airspeed,vfr_hud_groundspeed,vfr_hud_heading,vfr_hud_throttle,vfr_hud_altitude,vfr_hud_climb,global_position-global_altitude,global_position-global_longitude,global_position-global_latitude,global_position-raw-satellites_data,setpoint_raw-target_global_latitude,setpoint_raw-target_global_longitude,setpoint_raw-target_global_altitude,setpoint_raw-target_global_yaw,state_connected,state_armed,state_guided,state_manual_input,state_system_status,battery_drain_rate,battery_change_rate,gyro_magnitude,quaternion_magnitude,rc_output_mean,rc_output_std,battery_voltage_rolling_std,throttle_altitude_ratio,motion_activity_level
setpoint_raw-global_latitude,1.0,-0.8485153562698203,0.4335959066287879,-0.041847652662630276,-0.06768513491317261,,0.07043606157035587,-0.0,0.0,0.12532101012470884,0.00674132048530472,-0.0191539115652061,0.09264966825591359,-0.0035669280543987433,0.016011357845344777,0.009903294990463923,0.006754191273215079,-0.019134985398890504,0.09166910304429804,-0.1492820742248901,0.0065872587248924225,-0.02195535423853824,0.011337230223426618,0.06001356373435725,0.009983300588561615,0.099780113016403,0.08759385094629837,,0.10291329504792116,0.09286713734277187,-0.016452621780062328,0.07582215506940868,0.20891196562700967,-0.010649466039024792,0.22528706034945295,-0.2535628745797749,0.27806851701778196,-0.1049174400270334,0.2040087683543227,-0.17681320634881834,0.1591217803442644,,,0.011982147991398698,0.012441830761433334,,0.008955793103488938,,,0.099585964262716,-0.004837784202805224,0.07500576199405976,0.08815743947144039,0.004688687175533887,0.412588390589821,0.099585964262716
setpoint_raw-global_longitude,-0.8485153562698203,1.0,-0.6969591691482507,0.022488531055323665,0.25407562937084294,,-0.07229172738115305,0.0,-0.0,-0.17758928115749487,-0.0112170067511769,0.026299252093990567,-0.08287212755679399,-0.00234608869887264,-0.03637854728828118,-0.001602540847708454,-0.010770367573348464,0.02628006961734613,-0.08171871679088755,0.13259362619657727,-0.00546782663988719,0.023493749107397606,0.007244536455555344,-0.04611662520407568,-0.010255981217504833,-0.061007552506776086,-0.04795182021116488,,-0.13838011930287286,-0.1237983500598443,0.004581793210995295,-0.04155943894490279,-0.23211148931394096,0.002205478540381491,-0.24345428063266214,0.26021478212688903,-0.24331603065239263,0.021064308522773478,-0.18700766587405587,0.20415749664820643,-0.19160932395065022,,,-0.009444251714453102,-0.011031038811909361,,-0.0052536863466500616,,,-0.07895026589338808,0.0050295201455988325,-0.047180023244431914,-0.053974001822508985,-0.004598071211551705,-0.6688086184785886,-0.07895026589338808
setpoint_raw-global_altitude,0.4335959066287879,-0.6969591691482507,1.0,-0.0622547814027386,-0.2163469284908101,,0.03816912496742545,0.0,-0.0,0.21185077630838892,0.019018804137393618,0.02766622415090425,0.04380646946163288,0.02085094516953965,0.02676454231879167,0.02664554340813229,0.01888745348201052,0.02768934458099112,0.043495477722668395,-0.07758953906750898,-7.408899540469633e-05,0.0011964334461746773,0.014839843351550983,0.06221491298977291,0.055183863915791526,0.058456340275690924,0.056862264669130316,,0.10942346277064728,0.09059919232430558,-0.010861397779095366,0.058643178881702465,0.19343221818050554,-0.027040675808131916,0.194057294696159,-0.1514465616947347,0.11666626042342469,0.016493528363726945,0.0944790009058104,-0.13053658705977322,0.16474136844947132,,,0.02401628354692696,0.02496846970541869,,0.02111993296265932,,,0.044788525085340265,0.00036854635210162117,0.06299888047839966,0.06194867167636417,0.0013648376178882265,0.9675119274961077,0.044788525085340265
battery_voltage,-0.041847652662630276,0.022488531055323665,-0.0622547814027386,1.0,0.03818325862499389,,-3.52344389123947e-16,-0.0,0.0,-0.31050462475838725,-0.020043566812918252,-0.2884613210435703,-0.08670751863369835,-0.025085005091040675,0.003802443180451176,0.017053466455989597,-0.01883292152505938,-0.28749094162492267,-0.08508016319612695,0.12783390683270565,0.009723054479074155,-0.01925886733571285,-0.07084577555468052,-0.8223427005449032,-0.7939469039393583,-0.8888717479891238,-0.9007542953788441,,-0.2746110432641813,-0.24563144049059968,0.04478778299223411,-0.7550880859579223,-0.23901310497460448,-0.008236950904248487,-0.22721271598094553,0.09766777947027115,-0.10731141332736832,0.03170201982534868,0.0008724255107850935,-0.0036210213569974493,-0.010427421284677612,,,-0.10160121442760721,-0.06926908577698868,,-0.017754158532830973,,,-0.22585283114048996,0.026731108833731698,-0.9311235764109277,-0.9263892214070392,0.011694442390010064,-0.08458195900775822,-0.22585283114048996
battery_current,-0.06768513491317261,0.25407562937084294,-0.2163469284908101,0.03818325862499389,1.0,,-0.7003196069049813,-0.0,0.0,-0.0015587162780238925,-0.05828612597783709,0.0034977010369864037,-0.027018062176714083,0.00954766194766894,0.006039643664063226,-0.03644959639977022,-0.060609720809200365,0.003470164016814346,-0.02988545376042047,0.015090428165016453,-0.002314803029145562,-0.0034948984867352473,-0.0018776298717387758,-0.05217991035329188,-0.048924517169326,-0.043634238692344895,-0.03869724334768584,,-0.0024026565425674202,0.007523017941552878,0.0345217972948473,0.024535296665349038,0.03839879213208298,0.03309226695963838,0.07481094100456663,-0.09492382151634256,0.13217092047151976,-0.15791926019828878,-0.08772886835106629,0.11004247746309623,-0.09735768247350719,,,-0.030314430011163466,-0.002633999443665738,,0.030963651369035505,,,0.03877875536797178,0.002824174439213786,-0.048914497421632716,-0.046916613474126234,-0.009912487058733991,-0.08605042043075622,0.03877875536797178
battery_temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery_percentage,0.07043606157035587,-0.07229172738115305,0.03816912496742545,-3.52344389123947e-16,-0.7003196069049813,,1.0,0.0,-0.0,-0.10179443345368362,0.036585473495304666,0.028457029882850895,-0.04177123351664033,0.0028111337452432885,-0.01649481707742302,0.014090203333268866,0.040838684156666624,0.02849507978942997,-0.03696088895134847,0.07275078174748113,-0.00621384255031542,0.02463612380442823,-0.0024609711116758467,0.005623324849647303,0.010152861464717522,0.0030618617268045275,0.0023499776560581345,,-0.08041046488784834,-0.07907949354443457,-0.033896860346306304,-0.0788378220845974,-0.1811553577145479,-0.007740570707133361,-0.22226658527787704,0.25741930283343645,-0.27784056529822165,0.1260947957308012,0.03212470767564401,-0.03475531196275113,0.027813373414496852,,,0.020515953812671878,0.001865950046868487,,-0.020355642507976057,,,-0.09815358513932076,0.0009696773237079834,0.005293739365517474,0.003938656051793264,-0.0001878792139978386,-0.145049807536936,-0.09815358513932076
global_position-local_pose.pose.position.x,-0.0,0.0,0.0,-0.0,-0.0,,0.0,,,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
global_position-local_pose.pose.position.y,0.0,-0.0,-0.0,0.0,0.0,,-0.0,,,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,,,-0.0,-0.0,,-0.0,,,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
global_position-local_pose.pose.position.z,0.12532101012470884,-0.17758928115749487,0.21185077630838892,-0.31050462475838725,-0.0015587162780238925,,-0.10179443345368362,0.0,-0.0,1.0,0.10654634011192501,0.10765151332118834,0.09361173041309229,0.0717890020364929,0.10993253180647525,0.06022381989692116,0.10559858413093537,0.10787318691911893,0.09329700435130656,-0.22723550481983115,-0.0012774186707217902,-0.002682119989903418,0.05679049738023098,0.2792096068720177,0.3019631997225221,0.24416092612902238,0.2551050462375729,,0.5281057660016052,0.4482334390404798,0.05731203934111694,0.2621514987850538,0.8075120084014994,-0.06734361505936916,0.8763861941688799,-0.6491114278924692,0.4657057119177287,0.14308651365477312,0.035741850810141536,-0.045315516599566084,0.04901384335076178,,,0.021699408564158112,0.011606691948268232,,-0.009909784924022114,,,0.23222915975142133,-0.002266579765020856,0.2892648401136099,0.27553010920978777,-0.0033907603870888376,0.3491874752991858,0.23222915975142133
