,setpoint_raw-global_latitude,setpoint_raw-global_longitude,setpoint_raw-global_altitude,battery_voltage,battery_current,battery_temperature,battery_percentage,global_position-local_pose.pose.position.x,global_position-local_pose.pose.position.y,global_position-local_pose.pose.position.z,global_position-local_pose.pose.orientation.x,global_position-local_pose.pose.orientation.y,global_position-local_pose.pose.orientation.z,global_position-local_twist.twist.linear.x,global_position-local_twist.twist.linear.y,global_position-local_twist.twist.linear.z,imu-data_orientation.x,imu-data_orientation.y,imu-data_orientation.z,imu-data_orientation.w,imu-data_angular_velocity.x,imu-data_angular_velocity.y,imu-data_angular_velocity.z,rc-out_channels_0,rc-out_channels_1,rc-out_channels_2,rc-out_channels_3,rc-out_channels_4,vfr_hud_airspeed,vfr_hud_groundspeed,vfr_hud_heading,vfr_hud_throttle,vfr_hud_altitude,vfr_hud_climb,global_position-global_altitude,global_position-global_longitude,global_position-global_latitude,global_position-raw-satellites_data,setpoint_raw-target_global_latitude,setpoint_raw-target_global_longitude,setpoint_raw-target_global_altitude,setpoint_raw-target_global_yaw,state_connected,state_armed,state_guided,state_manual_input,state_system_status,battery_drain_rate,battery_change_rate,gyro_magnitude,quaternion_magnitude,rc_output_mean,rc_output_std,battery_voltage_rolling_std,throttle_altitude_ratio,motion_activity_level
setpoint_raw-global_latitude,1.0,-0.7476893151246529,0.762183866552742,-0.026667555786871324,-0.04914026820006996,,0.04914026820006996,-0.06600320843546001,0.07232693550349853,0.14625356613764068,0.0002480586905829,-0.048114612612900336,0.12736202816279857,-0.058399471675487785,-0.062217684122600106,-0.028549257018871177,-0.000569891847235208,-0.04852555990946863,0.12626051300711796,-0.1316450633564779,0.05011214473611839,-0.07364048689470121,0.08669317397822703,0.02044040405656327,-0.013321863114105808,0.04859029552016853,0.02753274045433019,,0.09633842895405798,0.07480855988656543,-0.10180713525862241,0.042151909438551696,0.1689044516468587,-0.014083123578311103,0.1783277694761998,-0.1866910534614579,0.18726242724135705,-0.09136984617470154,0.13034082805700142,-0.09536077799630953,0.08438038568366069,,,0.012518689296952445,0.01361274756993647,,0.01746918194596714,,,0.09468454286172899,-0.004211880667631931,0.02777608096872978,0.02889279036041693,0.04092875190337045,0.7251243590959568,0.09468454286172899
setpoint_raw-global_longitude,-0.7476893151246529,1.0,-0.7093889217347038,-0.018775180240624773,0.06479392842949351,,-0.06479392842949351,0.08524395669149204,-0.08935578475887687,-0.17576555095055044,-0.05301632254745234,0.058783019724328436,-0.07650199734951696,0.07861519322591307,0.03540702931076071,0.030571465879936435,-0.05194188342268712,0.05842623236605751,-0.07549607384058402,0.09020250042562267,-0.03676998844194015,0.07486430964194413,-0.08254568869367143,0.006203919278743031,0.01597476777862318,0.0014279957255197483,0.01801581618269063,,-0.12847712450848428,-0.1066918411319423,0.04770873620578958,-0.00013965684008064415,-0.18511508467463506,0.0056797942355509366,-0.20045256219080196,0.1854226391373017,-0.18463368997437948,0.02221987511224947,-0.13348814089391925,0.1749646800978839,-0.1542759707116441,,,0.0038324775564388637,-0.002797682854935636,,0.00674979883738317,,,-0.09423823813114544,0.0014959653885174397,0.014629174703590637,0.013399641170849855,-0.05041060092653475,-0.682626616242234,-0.09423823813114544
setpoint_raw-global_altitude,0.762183866552742,-0.7093889217347038,1.0,-0.06424297131060382,-0.052797868690578065,,0.052797868690578065,-0.06439451002981535,0.06900004999216706,0.19578715032980945,0.0353883266545084,-0.029497910824349643,0.08228979935046406,-0.05522119957965399,-0.043645455480776384,-0.033364183302909474,0.03435951307221282,-0.02941643317038763,0.08146534932900128,-0.13176913639051943,0.05525999786811688,-0.0736919448068236,0.09263877569466085,0.03168391724360538,0.02346346785448879,0.059702144247478724,0.053128511309742416,,0.1287976854130533,0.11061103698984637,-0.08691177038942284,0.0651409059580403,0.1691701196990205,-0.0068688138751272325,0.15941799624677744,-0.14899761036420792,0.149356686060209,-0.07476070946770186,0.10399346178449181,-0.08827875426342655,0.12544277658769326,,,0.02255985232470331,0.024705107742796065,,0.01732000376453924,,,0.1096018174177977,-0.005378611741336556,0.05802358944986672,0.05632258653233597,0.046246148300280426,0.953214703191854,0.1096018174177977
battery_voltage,-0.026667555786871324,-0.018775180240624773,-0.06424297131060382,1.0,-0.5892796365885344,,0.5892796365885344,-0.4855310623074894,0.47994458813395546,-0.08910773539114769,0.026029610346233904,-0.2002755963524013,0.10858368822584286,-0.09012307011245864,0.1518222971413524,0.15531541349570363,0.027211178729109796,-0.1955947086317329,0.11273207476158732,0.16940441509734888,-0.07933118413548762,0.02045814931145145,0.04518596263310076,-0.7057477901176367,-0.6031667069925141,-0.7486065388031217,-0.8074274279802741,,-0.11253761928846075,-0.043864478239648154,0.006009109016029617,-0.7219583264943968,-0.3919899113386143,-0.12944473913952714,-0.3477928316745062,0.3450340046893584,-0.3434749783593534,-0.16691932100986234,0.014004465794390483,-0.014027857071878048,0.002168656569280537,,,-0.06550648261674377,-0.05560296121016244,,-0.024587766687644678,,,-0.051233998907705816,0.014068944023842485,-0.9332501716352951,-0.9285660615118085,0.02065545509906973,-0.10462268876684536,-0.051233998907705816
battery_current,-0.04914026820006996,0.06479392842949351,-0.052797868690578065,-0.5892796365885344,1.0,,-1.0,0.7886011259432267,-0.7798268709079793,-0.2182896357825854,-0.17118661754453335,0.3823788095903605,-0.1777072371628539,0.24830759214854775,0.04574266225167495,-0.10590267393139385,-0.17272555433106374,0.3783650245615756,-0.18211756503580612,-0.03128875166121703,-0.1509475396832903,0.19405111796212543,-0.2954894649385754,0.41103099663449705,0.2599322305745258,0.4260336828462497,0.45589494747214787,,-0.1464835231865491,-0.22797381256315682,0.14580318643846263,0.47605929249057855,0.22775659855412997,0.17515739253973653,0.3096276156086965,-0.440186581688354,0.43928085322054156,0.27259897423269136,-0.022271734807992636,0.02079071016459288,-0.026162302161726884,,,0.021834549933590745,0.0253054128361908,,0.05299686052058345,,,-0.19039166603289276,0.002847250389994526,0.6015827381952444,0.6086446318403422,-0.033197102931721,0.12853727975244206,-0.19039166603289276
battery_temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
battery_percentage,0.04914026820006996,-0.06479392842949351,0.052797868690578065,0.5892796365885344,-1.0,,1.0,-0.7886011259432267,0.7798268709079793,0.2182896357825854,0.17118661754453335,-0.3823788095903605,0.1777072371628539,-0.24830759214854775,-0.04574266225167495,0.10590267393139385,0.17272555433106374,-0.3783650245615756,0.18211756503580612,0.03128875166121703,0.1509475396832903,-0.19405111796212543,0.2954894649385754,-0.41103099663449705,-0.2599322305745258,-0.4260336828462497,-0.45589494747214787,,0.1464835231865491,0.22797381256315682,-0.14580318643846263,-0.47605929249057855,-0.22775659855412997,-0.17515739253973653,-0.3096276156086965,0.440186581688354,-0.43928085322054156,-0.27259897423269136,0.022271734807992636,-0.02079071016459288,0.026162302161726884,,,-0.021834549933590745,-0.0253054128361908,,-0.05299686052058345,,,0.19039166603289276,-0.002847250389994526,-0.6015827381952444,-0.6086446318403422,0.033197102931721,-0.12853727975244206,0.19039166603289276
global_position-local_pose.pose.position.x,-0.06600320843546001,0.08524395669149204,-0.06439451002981535,-0.4855310623074894,0.7886011259432267,,-0.7886011259432267,1.0,-0.9987710529327366,-0.4493017015536516,-0.12598956358539448,0.5714807088540231,-0.2589770177860113,0.3809290503997912,0.08851970521684663,-0.008686093866617442,-0.1256411668481379,0.5701792762255968,-0.25845066420021134,0.03784301599319271,-0.2258448203696216,0.33010327837582093,-0.4550284249648605,0.3451040038430061,0.18477105689325507,0.4196565891881179,0.41901926057946903,,-0.15421753251604609,-0.22975663384802603,0.13110207721754674,0.4645436928343312,0.209041538161797,0.16711528823856342,0.07281627010509306,-0.21294119626442662,0.2134279694994343,0.46093363543456345,-0.027948813990401347,0.0261750525949502,-0.027980173165662918,,,0.02258295956019052,0.02616615000316974,,0.05289830383170258,,,-0.36674331103436236,0.0011241220803440265,0.5221582509733284,0.5294521835932209,-0.025241114285325043,0.11448505627909056,-0.36674331103436236
global_position-local_pose.pose.position.y,0.07232693550349853,-0.08935578475887687,0.06900004999216706,0.47994458813395546,-0.7798268709079793,,0.7798268709079793,-0.9987710529327366,1.0,0.4586206176239193,0.12955031931551989,-0.5640225268830977,0.2731727287808789,-0.3824039292923399,-0.09230991961348908,0.005788783423658147,0.12937353592164125,-0.5630383429443797,0.27217099596809735,-0.05922831720318674,0.22433224885220737,-0.3344070003097543,0.46365901228877915,-0.34787823128614864,-0.19542831814054742,-0.41213815009776406,-0.4131639818814867,,0.15491110982484793,0.23039676698420886,-0.145154467737451,-0.457848867177681,-0.19407742181918936,-0.16530452313454702,-0.04814002068707063,0.1798439426789636,-0.1795518491364784,-0.49349371295163813,0.03045481601279261,-0.02733941967827878,0.029124337389832753,,,-0.024769015015542715,-0.028275673630324735,,-0.05531411756788354,,,0.3787071672282297,-0.0029859750589411645,-0.516542358791593,-0.5235392138337511,0.028093018340111655,-0.1082504914567721,0.3787071672282297
global_position-local_pose.pose.position.z,0.14625356613764068,-0.17576555095055044,0.19578715032980945,-0.08910773539114769,-0.2182896357825854,,0.2182896357825854,-0.4493017015536516,0.4586206176239193,1.0,0.21002232023291365,-0.35981490800083477,0.07645079969473077,-0.3075847158504888,-0.10221805960214184,-0.12966738564583116,0.202372994588422,-0.3567078796953184,0.06992438972387294,-0.16353750946201254,0.2045430660610613,-0.3480802076447977,0.4139368383495864,-0.029759154670223335,0.10927278366057439,0.018721569778908893,0.047051363052208424,,0.439543774758091,0.4006767650398513,-0.03390875878024099,0.03767047685678409,0.3827580191292531,-0.04320673327209237,0.4952024653506827,-0.3568729250794614,0.35648809062791986,-0.24005800677121816,0.03791261759301164,-0.03815162133682629,0.0497145434156025,,,-0.015226028221088074,-0.016811082146178286,,-0.05165289842718746,,,0.534751134323726,-0.014571626915284464,0.05378399553003945,0.048420079949782646,0.03093458009171238,0.07594193141415956,0.534751134323726
